🇨🇳 央视,#genre#
CCTV2,http://e2.woc.iiiya.cn:8888/udp/239.61.2.174:9032
CCTV3,http://e2.woc.iiiya.cn:8888/udp/239.61.4.117:1025
CCTV3,http://e2.woc.iiiya.cn:8888/udp/239.61.4.120:1025
CCTV4,http://e2.woc.iiiya.cn:8888/udp/239.61.5.56:1025
CCTV5,http://e2.woc.iiiya.cn:8888/udp/239.61.4.118:1025
CCTV5,http://e2.woc.iiiya.cn:8888/udp/239.61.4.121:1025
CCTV5,http://e2.woc.iiiya.cn:8888/udp/239.61.5.217:1025
CCTV5+,http://e2.woc.iiiya.cn:8888/udp/239.61.5.58:1025
CCTV6,http://e2.woc.iiiya.cn:8888/udp/239.61.4.119:1025
CCTV6,http://e2.woc.iiiya.cn:8888/udp/239.61.4.122:1025
CCTV7,http://e2.woc.iiiya.cn:8888/udp/239.61.5.62:1025
CCTV7,http://e2.woc.iiiya.cn:8888/udp/239.61.2.175:9038
CCTV8,http://e2.woc.iiiya.cn:8888/udp/239.61.4.116:1025
CCTV8,http://e2.woc.iiiya.cn:8888/udp/239.61.4.123:1025
CCTV8,http://e2.woc.iiiya.cn:8888/udp/239.61.4.137:1025
CCTV9,http://e2.woc.iiiya.cn:8888/udp/239.61.5.59:1025
CCTV10,http://e2.woc.iiiya.cn:8888/udp/239.61.5.63:1025
CCTV10,http://e2.woc.iiiya.cn:8888/udp/239.61.2.176:9044
CCTV11,http://e2.woc.iiiya.cn:8888/udp/239.61.4.21:1025
CCTV12,http://e2.woc.iiiya.cn:8888/udp/239.61.4.22:1025
CCTV12,http://e2.woc.iiiya.cn:8888/udp/239.61.5.64:1025
CCTV12,http://e2.woc.iiiya.cn:8888/udp/239.61.2.177:9050
CCTV13,http://e2.woc.iiiya.cn:8888/udp/239.61.4.23:1025
CCTV14,http://e2.woc.iiiya.cn:8888/udp/239.61.5.65:1025
CCTV14,http://e2.woc.iiiya.cn:8888/udp/239.61.2.178:9056
CCTV15,http://e2.woc.iiiya.cn:8888/udp/239.61.4.25:1025
CCTV16,http://e2.woc.iiiya.cn:8888/udp/239.61.4.135:1025
CCTV17,http://e2.woc.iiiya.cn:8888/udp/239.61.5.158:1025
CETV1,http://e2.woc.iiiya.cn:8888/udp/239.61.5.53:1025
CETV2,http://e2.woc.iiiya.cn:8888/udp/239.61.5.169:1025
CETV4,http://e2.woc.iiiya.cn:8888/udp/239.61.5.196:1025
CGTN,http://e2.woc.iiiya.cn:8888/udp/239.61.4.131:1025
CGTN,http://e2.woc.iiiya.cn:8888/udp/239.61.4.19:1025
CGTN俄语,http://e2.woc.iiiya.cn:8888/udp/239.61.4.132:1025
